iteration,instanceLimit,spaceSize,elitismRatio,mutationRate,selectionMethod,crossoverMethod,mutationMethod,elitismMethod,highestFitness,lowestFitness,averageFitness
0,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196178,197472
0,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,191218,198781
1,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
1,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,197191,199191
2,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,191458,198768
2,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192911,198866
3,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
3,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198607
4,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
4,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198724
5,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
5,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198877
6,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
6,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198797
7,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
7,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198112
8,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199408,199413
8,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198077
9,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,198603,199372
9,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,198104,199301
10,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
10,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,197191,199199
11,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,194709,197531
11,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,197191,199287
12,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,194709,194709,194709
12,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,190615,198446
13,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
13,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,188582,198601
14,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
14,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,190907,198297
15,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,198265,199356
15,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198700
16,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197263,199228
16,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,192484,198366
17,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
17,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,195623,198283
18,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196981,199291
18,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,195623,198840
19,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
19,20,10,0,0.01,ROULETTE,INTERTWINED,INVERT,RANKED,199413,195623,198732
