iteration,instanceLimit,spaceSize,elitismRatio,mutationRate,selectionMethod,crossoverMethod,mutationMethod,elitismMethod,highestFitness,lowestFitness,averageFitness
0,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
0,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,199413,199413
1,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
1,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,195710,199112
2,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
2,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,196043,199173
3,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,195978,199241
3,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,188957,198716
4,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,195347,199210
4,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,199413,199413
5,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197295,199293
5,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,197477,199316
6,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,194243,199154
6,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,196915,199210
7,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
7,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,194656,199175
8,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
8,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,204586,198755,199637
9,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,193609,199123
9,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,204586,199413,199672
10,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,198067,199346
10,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,199413,199413
11,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,198782,199381
11,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,191891,199036
12,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,195156,198087
12,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,198104,199282
13,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,198104,198104,198104
13,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,196147,199184
14,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,198104,194418,197920
14,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,198566,199371
15,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
15,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,207075,198469,199711
16,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197679,199326
16,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,194016,198908
17,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
17,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,194991,198977
18,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196998,199292
18,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,194053,199042
19,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
19,20,10,0.1,0.01,ROULETTE,INTERTWINED,SWAP,RATIO,199413,197704,199328
