iteration,instanceLimit,spaceSize,elitismRatio,mutationRate,selectionMethod,crossoverMethod,mutationMethod,elitismMethod,highestFitness,lowestFitness,averageFitness
0,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,195417,199103
0,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,194151,199139
1,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197883,199336
1,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199408,199413
2,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196805,199283
2,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
3,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197138,199299
3,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
4,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,193981,199141
4,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199279,199406
5,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197422,199313
5,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
6,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197400,199312
6,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
7,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
7,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,195414,199030
8,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
8,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
9,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,198328,199359
9,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,195148,199173
10,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
10,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
11,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,198662,199375
11,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,188996,198284
12,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196790,199151
12,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
13,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,194993,199129
13,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,197248,199305
14,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
14,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,197602,199322
15,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
15,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,192093,198840
16,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,197816,199333
16,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,193122,199004
17,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
17,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199270,199406
18,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,196997,199260
18,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
19,20,10,0,0.01,ROULETTE,INTERTWINED,SWAP,RANKED,199413,199413,199413
19,20,10,0,0.01,TOURNAMENT,INTERTWINED,SWAP,RANKED,199413,199413,199413
